"rt","key_press","TrialNumber","Subject","TrialType","Response","TestTrial","trial_type","trial_index","time_elapsed","internal_node_id"
"-1","-1","1","s999","2","8","8","single-stim","0","62","0.0-0.0"
"-1","-1","2","s999","9","8","9","single-stim","1","67","0.0-1.0"
"-1","-1","3","s999","0","1","0","single-stim","2","69","0.0-2.0"
"-1","-1","4","s999","5","5","8","single-stim","3","71","0.0-3.0"
"-1","-1","5","s999","8","0","7","single-stim","4","76","0.0-4.0"
"-1","-1","6","s999","7","7","2","single-stim","5","81","0.0-5.0"
"-1","-1","7","s999","8","9","0","single-stim","6","86","0.0-6.0"
"-1","-1","8","s999","6","4","4","single-stim","7","99","0.0-7.0"
"-1","-1","9","s999","6","2","4","single-stim","8","104","0.0-8.0"
"-1","-1","10","s999","0","1","4","single-stim","9","109","0.0-9.0"
"-1","-1","11","s999","6","2","1","single-stim","10","114","0.0-10.0"
"-1","-1","12","s999","6","0","3","single-stim","11","119","0.0-11.0"
"-1","-1","13","s999","6","1","0","single-stim","12","124","0.0-12.0"
"-1","-1","14","s999","7","0","3","single-stim","13","128","0.0-13.0"
"-1","-1","15","s999","4","0","8","single-stim","14","133","0.0-14.0"
"-1","-1","16","s999","6","0","5","single-stim","15","138","0.0-15.0"
"-1","-1","17","s999","9","6","6","single-stim","16","144","0.0-16.0"
"-1","-1","18","s999","5","9","2","single-stim","17","151","0.0-17.0"
"-1","-1","19","s999","3","4","1","single-stim","18","156","0.0-18.0"
"-1","-1","20","s999","6","1","6","single-stim","19","161","0.0-19.0"
"-1","-1","21","s999","0","5","2","single-stim","20","167","0.0-20.0"
"-1","-1","22","s999","8","2","4","single-stim","21","175","0.0-21.0"
"-1","-1","23","s999","2","3","8","single-stim","22","180","0.0-22.0"
"-1","-1","24","s999","7","7","9","single-stim","23","185","0.0-23.0"
"-1","-1","25","s999","1","1","9","single-stim","24","191","0.0-24.0"
"-1","-1","26","s999","7","2","7","single-stim","25","196","0.0-25.0"
"-1","-1","27","s999","9","3","1","single-stim","26","201","0.0-26.0"
"-1","-1","28","s999","1","3","9","single-stim","27","205","0.0-27.0"
"-1","-1","29","s999","1","5","2","single-stim","28","210","0.0-28.0"
"-1","-1","30","s999","0","9","7","single-stim","29","215","0.0-29.0"
"-1","-1","31","s999","5","6","7","single-stim","30","219","0.0-30.0"
"-1","-1","32","s999","6","8","3","single-stim","31","225","0.0-31.0"
